faq_id,问题,答案,关联条款编号,关联共识编号,review_id,沉积来源,命中关键词,tags,状态,备注,更新时间
FAQ-0001,门店在打烊前 1 小时，可下架新品、重点品扣分吗？,根据共识 C-0089「新品、重点品下架尺度」：打烊前 1 小时门店主动下架新品/重点品，不属于过度提前下架，不扣分；其余时段仍按 C-0089 判定。,,C-0089,,手工,新品|重点品|下架|打烊前,faq|consensus-link,启用,种子条目；用于 B 档 FAQ 直答演示，可按需替换或删除,2026-04-22 11:00:00
FAQ-0002,化学品相关外购管理共识,"1.门店吧台区域的抽屉均需要查看， 只查看内部是否有违禁的化学品 （如：外购违规除胶剂，杀虫剂等）。其他私人物品等不管控； 2.出现在营运区,正处于 点燃状态下（正在燃烧） 的蚊香，扣非认可15分; 未点燃 的蚊香，扣私人物品3分； 3.杀虫剂出现在店内（非密闭独立空间）， 扣外购15分； 4. 【不可外购】、【可外购】及【化学品】稽核标准: 详见案例解读（图1+ 图2）； 【工服】【工帽】由于影响品牌形象面较严重，故不在【可使用】判定标准内，直接按【无法判断】流程进行； 5、发现外购除胶剂，门店现场废弃或带走不扣分",,CS-0047,,迁移自规则表,"化学品相关外购管理共识|如：外购违规除胶剂|杀虫剂等|其他私人物品等不管控|2.出现在营运区,正处于|点燃状态下（正在燃烧",consensus-link|migrated-from-rules|category-外购与非认可物料/器具,启用,迁移自规则表 R-0048；原条款编号=311；分类=外购与非认可物料/器具,2026-04-22 11:57:12
FAQ-0003,器具类相关外购管理共识,1. 门店使用钢丝类清洁器具 a. 钢丝类长柄地刷不扣分 ; b. 钢丝球 若未已用于封堵， 存放着或用于清洁，正常扣分 ; 2.这个工帽是公司的；(图1） 3.门店 外购封口夹，头花、仓垫板不扣分； 4.关于 外购容器扣分情况有哪些？ 针对与食品直接接触的容器，只稽核与原物料直接暴露后接触的 （如珍珠没有外包装直接放在容器内的）清洗中及清洗后的水果，对于未清洗的原果未去除外包装的原材料不做稽核； 5.关于保鲜膜相关： 保鲜膜、保鲜袋可外购且无需审批 ，但购买时注意包装上须标有 “GB4806”字样 (图2） ；若门店购买的保鲜膜或保鲜袋未有“GB4806”字样，将会按照稽核条款扣除15分，门店若提供检测报告内有GB4806的，可修改报告；,,CS-0053,,迁移自规则表,器具类相关外购管理共识|门店使用钢丝类清洁器具|钢丝类长柄地刷不扣分|钢丝球|若未已用于封堵|存放着或用于清洁,consensus-link|migrated-from-rules|category-外购与非认可物料/器具,启用,迁移自规则表 R-0049；原条款编号=311；分类=外购与非认可物料/器具,2026-04-22 11:57:12
FAQ-0004,门店出现发霉腐败等相关共识,"1.""工服发霉， 若已拆封 ，包括悬挂、穿着等， 扣外部发霉5分 若 未拆封 如放在袋子内部， 提醒门店带离 "" 2.门店 营运区的非食品操作木制品/硬装，若发霉-5，未发霉，提醒； 3.门店 设备器具出现发霉情况 ，若霉变部位有 和食品直接接触的风险，-15；",,CS-0064,,迁移自规则表,"1.""工服发霉|若已拆封|包括悬挂|穿着等|扣外部发霉5分|未拆封",consensus-link|migrated-from-rules|category-设备器具清洁/霉变/积垢,启用,迁移自规则表 R-0050；原条款编号=33；分类=设备器具清洁/霉变/积垢,2026-04-22 11:57:12
FAQ-0005,交叉污染相关稽核共识,1.蟑螂屋 是检测蟑螂的，不是粘蝇纸，是物理装置，在店里是可以放置的，不扣分； 2.水果清洗时未戴手套 需判 断果皮是否需要切除， 例如西瓜、桃子、芒果清洗不戴手套先不做扣分，提醒； 3.营运区器具食品接触面生锈积垢 待用的器具食品接触面积垢扣1分器具清洁，正在使用的器具食品接触面积垢，扣5分交叉污染； 特殊器具：沙冰壶、削皮刀、剪刀、水果刀、等刀类食品接触面积垢直接扣5分交叉污染 4.营运期间灭蝇纸放 在操作设备上方， 扣交叉污染 （门店苍蝇很多，消杀无法提供解决方案，在非操作区域和非顾客可视区，营运期间可放灭蝇纸） 5、店内员工福利物品 放在货架不扣；.放在冷藏柜等操作区域内正常扣分,,CS-0070,,迁移自规则表,交叉污染相关稽核共识|1.蟑螂屋|是检测蟑螂的|不是粘蝇纸|是物理装置|在店里是可以放置的,consensus-link|migrated-from-rules|category-交叉污染问题,启用,迁移自规则表 R-0051；原条款编号=34；分类=交叉污染问题,2026-04-22 11:57:12
FAQ-0006,门店阁楼的物料未离地储存,物料直接放置在阁楼、楼梯上，扣未离地，离地的定义：是否可行走活动,,CS-0076,,迁移自规则表,门店阁楼的物料未离地储存|物料直接放置在阁楼|楼梯上|扣未离地,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0052；原条款编号=37；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0007,到货时物料未按标准储存,1、牛奶、安佳、冰淇淋 10分钟内收入冷藏/冷冻 2、第一梯队鲜果2小时内收入冷藏 3、其他物料4小时内按标准储存 （以上时间从门店签字收货后开始计时）,,CS-0077,,迁移自规则表,到货时物料未按标准储存|牛奶|安佳|冰淇淋|10分钟内收入冷藏/冷冻,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0053；原条款编号=37；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0008,煮制品放置在盛装热水的容器内进行保温,煮制品放置在盛装热水的容器内进行保温易滋生细菌，产生食安风险。但由于目前暂未进行宣导，故遇到该类情况提醒不扣分,,CS-0078,,迁移自规则表,产生食安风险|但由于目前暂未进行宣导|故遇到该类情况提醒不扣分,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0054；原条款编号=37；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0009,门店使用保温器,保温器仅可用于珍珠，其他半成品、饮品不可使用,,CS-0079,,迁移自规则表,门店使用保温器|保温器仅可用于珍珠|其他半成品|饮品不可使用,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0055；原条款编号=37；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0010,若门店使用特调桶储存奶露,若奶露闷盖需扣储存；若虚盖、半开盖、盖子上扎孔(提醒使用透气网）不扣分,,CS-0080,,迁移自规则表,若门店使用特调桶储存奶露|若奶露闷盖需扣储存|若虚盖|半开盖,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0056；原条款编号=37；分类=储存与离地问题,2026-04-22 11:57:12
