consensus_id,标题,关联条款编号,适用场景,解释内容,判定结果,扣分分值,关键词,示例问题,来源文件,更新时间,状态,备注
CS-0047,化学品相关外购管理共识,311,外购与非认可物料/器具,"1.门店吧台区域的抽屉均需要查看， 只查看内部是否有违禁的化学品 （如：外购违规除胶剂，杀虫剂等）。其他私人物品等不管控； 2.出现在营运区,正处于 点燃状态下（正在燃烧） 的蚊香，扣非认可15分; 未点燃 的蚊香，扣私人物品3分； 3.杀虫剂出现在店内（非密闭独立空间）， 扣外购15分； 4. 【不可外购】、【可外购】及【化学品】稽核标准: 详见案例解读（图1+ 图2）； 【工服】【工帽】由于影响品牌形象面较严重，故不在【可使用】判定标准内，直接按【无法判断】流程进行； 5、发现外购除胶剂，门店现场废弃或带走不扣分",按场景判定,多档:3|15,"化学品相关外购管理共识|如：外购违规除胶剂|杀虫剂等|其他私人物品等不管控|2.出现在营运区,正处于|点燃状态下（正在燃烧",化学品相关外购管理共识,稽核共识.xlsx,2025-12-29 11:07:12,启用,
CS-0053,器具类相关外购管理共识,311,外购与非认可物料/器具,1. 门店使用钢丝类清洁器具 a. 钢丝类长柄地刷不扣分 ; b. 钢丝球 若未已用于封堵， 存放着或用于清洁，正常扣分 ; 2.这个工帽是公司的；(图1） 3.门店 外购封口夹，头花、仓垫板不扣分； 4.关于 外购容器扣分情况有哪些？ 针对与食品直接接触的容器，只稽核与原物料直接暴露后接触的 （如珍珠没有外包装直接放在容器内的）清洗中及清洗后的水果，对于未清洗的原果未去除外包装的原材料不做稽核； 5.关于保鲜膜相关： 保鲜膜、保鲜袋可外购且无需审批 ，但购买时注意包装上须标有 “GB4806”字样 (图2） ；若门店购买的保鲜膜或保鲜袋未有“GB4806”字样，将会按照稽核条款扣除15分，门店若提供检测报告内有GB4806的，可修改报告；,按场景判定,15,器具类相关外购管理共识|门店使用钢丝类清洁器具|钢丝类长柄地刷不扣分|钢丝球|若未已用于封堵|存放着或用于清洁,器具类相关外购管理共识,稽核共识.xlsx,2025-06-23 13:33:03,启用,
CS-0064,门店出现发霉腐败等相关共识,33,设备器具清洁/霉变/积垢,"1.""工服发霉， 若已拆封 ，包括悬挂、穿着等， 扣外部发霉5分 若 未拆封 如放在袋子内部， 提醒门店带离 "" 2.门店 营运区的非食品操作木制品/硬装，若发霉-5，未发霉，提醒； 3.门店 设备器具出现发霉情况 ，若霉变部位有 和食品直接接触的风险，-15；",是,5,"1.""工服发霉|若已拆封|包括悬挂|穿着等|扣外部发霉5分|未拆封",门店出现发霉腐败等相关共识,稽核共识.xlsx,2025-06-23 14:45:40,启用,
CS-0070,交叉污染相关稽核共识,34,交叉污染问题,1.蟑螂屋 是检测蟑螂的，不是粘蝇纸，是物理装置，在店里是可以放置的，不扣分； 2.水果清洗时未戴手套 需判 断果皮是否需要切除， 例如西瓜、桃子、芒果清洗不戴手套先不做扣分，提醒； 3.营运区器具食品接触面生锈积垢 待用的器具食品接触面积垢扣1分器具清洁，正在使用的器具食品接触面积垢，扣5分交叉污染； 特殊器具：沙冰壶、削皮刀、剪刀、水果刀、等刀类食品接触面积垢直接扣5分交叉污染 4.营运期间灭蝇纸放 在操作设备上方， 扣交叉污染 （门店苍蝇很多，消杀无法提供解决方案，在非操作区域和非顾客可视区，营运期间可放灭蝇纸） 5、店内员工福利物品 放在货架不扣；.放在冷藏柜等操作区域内正常扣分,按场景判定,多档:1|5,交叉污染相关稽核共识|1.蟑螂屋|是检测蟑螂的|不是粘蝇纸|是物理装置|在店里是可以放置的,交叉污染相关稽核共识,稽核共识.xlsx,2025-12-21 11:28:33,启用,
CS-0076,门店阁楼的物料未离地储存,37,储存与离地问题,物料直接放置在阁楼、楼梯上，扣未离地，离地的定义：是否可行走活动,是,,门店阁楼的物料未离地储存|物料直接放置在阁楼|楼梯上|扣未离地,门店阁楼的物料未离地储存,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0077,到货时物料未按标准储存,37,储存与离地问题,1、牛奶、安佳、冰淇淋 10分钟内收入冷藏/冷冻 2、第一梯队鲜果2小时内收入冷藏 3、其他物料4小时内按标准储存 （以上时间从门店签字收货后开始计时）,按场景判定,,到货时物料未按标准储存|牛奶|安佳|冰淇淋|10分钟内收入冷藏/冷冻,到货时物料未按标准储存,稽核共识.xlsx,2025-08-04 15:08:34,启用,
CS-0078,煮制品放置在盛装热水的容器内进行保温,37,储存与离地问题,煮制品放置在盛装热水的容器内进行保温易滋生细菌，产生食安风险。但由于目前暂未进行宣导，故遇到该类情况提醒不扣分,否,0,产生食安风险|但由于目前暂未进行宣导|故遇到该类情况提醒不扣分,煮制品放置在盛装热水的容器内进行保温,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0079,门店使用保温器,37,储存与离地问题,保温器仅可用于珍珠，其他半成品、饮品不可使用,按场景判定,,门店使用保温器|保温器仅可用于珍珠|其他半成品|饮品不可使用,门店使用保温器,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0080,若门店使用特调桶储存奶露,37,储存与离地问题,若奶露闷盖需扣储存；若虚盖、半开盖、盖子上扎孔(提醒使用透气网）不扣分,否,0,若门店使用特调桶储存奶露|若奶露闷盖需扣储存|若虚盖|半开盖,若门店使用特调桶储存奶露,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0081,若新购盐罐盖子盖不上,37,其他特殊判定,盐罐盖子盖不上，门店反馈一个月内新购盐罐，可不扣分,否,0,若新购盐罐盖子盖不上|盐罐盖子盖不上|门店反馈一个月内新购盐罐|可不扣分,若新购盐罐盖子盖不上,稽核共识.xlsx,2024-10-17 20:20:40,启用,
